ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8607
17870752,2016-05-12 09:14:35,672C - Recycling Bottles,GNU C++,Wrong answer on test 4,15 ms,2000 KB
17870613,2016-05-12 09:00:47,672C - Recycling Bottles,GNU C++,Wrong answer on test 4,15 ms,2000 KB
17863040,2016-05-11 22:00:37,672C - Recycling Bottles,GNU C++,Wrong answer on test 3,15 ms,2000 KB
17862879,2016-05-11 21:58:38,672C - Recycling Bottles,GNU C++,Wrong answer on test 3,15 ms,2000 KB
17855856,2016-05-11 20:32:16,672B - Different is Good,GNU C++,Accepted,15 ms,2400 KB
17853933,2016-05-11 20:15:12,672A - Summer Camp,GNU C++,Accepted,31 ms,2200 KB
17853246,2016-05-11 20:09:55,672A - Summer Camp,GNU C++,Wrong answer on pretest 6,15 ms,2000 KB
17591752,2016-04-30 11:32:15,667C - Reberland Linguistics,GNU C++,Time limit exceeded on test 9,1000 ms,2000 KB
17583034,2016-04-29 21:30:24,667C - Reberland Linguistics,GNU C++,Wrong answer on pretest 2,0 ms,2200 KB
17582848,2016-04-29 21:28:40,667C - Reberland Linguistics,GNU C++,Wrong answer on pretest 6,30 ms,2200 KB
17581723,2016-04-29 21:17:07,667C - Reberland Linguistics,GNU C++,Wrong answer on pretest 6,15 ms,2200 KB
17579646,2016-04-29 20:54:37,667B - Coat of Anticubism,GNU C++,Accepted,62 ms,2200 KB
17578845,2016-04-29 20:46:56,667C - Reberland Linguistics,GNU C++,Wrong answer on pretest 6,15 ms,2000 KB
17577629,2016-04-29 20:34:42,667C - Reberland Linguistics,GNU C++,Wrong answer on pretest 6,15 ms,2000 KB
17571997,2016-04-29 19:53:18,667A - Pouring Rain,GNU C++,Accepted,15 ms,2200 KB
17525812,2016-04-26 20:55:17,5C - Longest Regular Bracket Sequence,GNU C++,Accepted,62 ms,15000 KB
17525680,2016-04-26 20:42:40,5C - Longest Regular Bracket Sequence,GNU C++,Wrong answer on test 4,30 ms,6100 KB
17523618,2016-04-26 17:57:34,5C - Longest Regular Bracket Sequence,GNU C++,Wrong answer on test 3,30 ms,2000 KB
17465614,2016-04-23 09:19:27,556A - Case of the Zeros and Ones,GNU C++,Accepted,15 ms,3300 KB
17436766,2016-04-22 18:09:09,554C - Kyoya and Colored Balls,GNU C++,Accepted,592 ms,17800 KB
17436599,2016-04-22 18:08:04,554C - Kyoya and Colored Balls,GNU C++,Compilation error,0 ms,0 KB
17435543,2016-04-22 16:50:34,554B - Ohana Cleans Up,GNU C++,Accepted,15 ms,2200 KB
17435459,2016-04-22 16:43:58,554A - Kyoya and Photobooks,GNU C++,Accepted,15 ms,2000 KB
17270784,2016-04-10 22:35:41,651C - Watchmen,GNU C++,Accepted,327 ms,1600 KB
17239735,2016-04-08 19:36:42,660B - Seating On Bus,GNU C++,Accepted,15 ms,2000 KB
17239566,2016-04-08 19:34:09,660B - Seating On Bus,GNU C++,Wrong answer on test 5,15 ms,2000 KB
17239427,2016-04-08 19:31:46,660B - Seating On Bus,GNU C++,Wrong answer on test 6,15 ms,2200 KB
17238655,2016-04-08 19:20:36,660B - Seating On Bus,GNU C++,Wrong answer on test 6,15 ms,2000 KB
17237811,2016-04-08 19:09:19,660B - Seating On Bus,GNU C++,Wrong answer on test 6,15 ms,2000 KB
17232708,2016-04-08 18:13:54,660A - Co-prime Array,GNU C++,Hacked,15 ms,2200 KB
17232142,2016-04-08 18:08:23,660A - Co-prime Array,GNU C++,Wrong answer on test 1,0 ms,2000 KB
17175567,2016-04-05 20:04:24,538B - Quasi Binary,GNU C++,Accepted,15 ms,2200 KB
17175512,2016-04-05 20:01:09,538B - Quasi Binary,GNU C++,Wrong answer on test 6,15 ms,2200 KB
17175309,2016-04-05 19:48:48,538B - Quasi Binary,GNU C++,Wrong answer on test 5,15 ms,2000 KB
17157764,2016-04-04 15:45:40,630B - Moore's Law,GNU C++,Accepted,15 ms,2200 KB
17114464,2016-04-01 20:46:01,656A - Da Vinci Powers,GNU C++,Wrong answer on test 3,0 ms,2000 KB
17112249,2016-04-01 20:31:48,656B - Scrambled,GNU C++,Accepted,15 ms,2600 KB
17106638,2016-04-01 19:58:22,656B - Scrambled,GNU C++,Wrong answer on test 4,15 ms,2000 KB
17105096,2016-04-01 19:49:12,656B - Scrambled,GNU C++,Wrong answer on test 3,0 ms,2000 KB
17103460,2016-04-01 19:40:17,656B - Scrambled,GNU C++,Wrong answer on test 4,15 ms,2000 KB
17101921,2016-04-01 19:32:15,656B - Scrambled,GNU C++,Wrong answer on test 4,15 ms,2000 KB
17100510,2016-04-01 19:24:56,656B - Scrambled,GNU C++,Wrong answer on test 3,0 ms,2200 KB
17097531,2016-04-01 19:10:35,656A - Da Vinci Powers,GNU C++,Wrong answer on test 3,15 ms,2200 KB
17096393,2016-04-01 19:06:40,656A - Da Vinci Powers,GNU C++,Wrong answer on test 3,0 ms,2000 KB
17085473,2016-04-01 09:16:41,171B - Star,GNU C++,Wrong answer on test 2,0 ms,2000 KB
17085454,2016-04-01 09:15:09,171B - Star,GNU C++,Compilation error,0 ms,0 KB
17085440,2016-04-01 09:13:53,171B - Star,GNU C++,Compilation error,0 ms,0 KB
17068151,2016-03-31 09:54:10,659D - Bicycle Race,GNU C++,Accepted,15 ms,2000 KB
17067702,2016-03-31 09:25:32,659B - Qualifying Contest,GNU C++,Accepted,171 ms,5200 KB
17058754,2016-03-30 22:20:48,659B - Qualifying Contest,GNU C++,Wrong answer on test 15,156 ms,5200 KB
17051527,2016-03-30 20:27:10,659C - Tanya and Toys,GNU C++,Accepted,93 ms,2900 KB
17046629,2016-03-30 19:52:59,659B - Qualifying Contest,GNU C++,Wrong answer on test 15,170 ms,5200 KB
17039376,2016-03-30 19:15:45,659A - Round House,GNU C++,Accepted,15 ms,2200 KB
17036510,2016-03-30 18:14:00,597A - Divisibility,GNU C++,Wrong answer on test 30,15 ms,0 KB
17036474,2016-03-30 18:11:34,597A - Divisibility,GNU C++,Wrong answer on test 14,15 ms,0 KB
15648758,2016-01-29 19:04:02,478B - Random Teams,Java 8,Wrong answer on test 6,93 ms,0 KB
15648258,2016-01-29 18:31:40,478B - Random Teams,Java 8,Wrong answer on test 4,109 ms,0 KB
